sl No,item_code,item_description
1783,177.3.2,"Supply and fixing of 12 way Single pole and neutral MCB with sheet steel enclosure type and with 1no of 32-40A double Pole isolator MCB type as incoming and 10 nos.6A-32A SP MCB as outgoing in flush with wall and making good of the concealed portion with earth connection etc., all complete complying with relevant standard specifications and as directed by the departmental officers              "
1784,177.4,"Providing earthing station using pipe electrode as per ISS  using 2.1 mtr of 40 mm dia class ‘B’ pipe  0.15mtr. of 20mm dia class ‘B’ GI pipe  including earth work excavation, brick work in cement mortar and plastering, cost of funnel 12.5mm dia with wire mesh, copper plate of size 125mm x 50mm x 6mm (0.36kg), 1 No. GI reducer 3 Nos. GI check nuts, 1 bag of charcoal, 10 kg common salt, RCC cover and labour charges for providing earth pit with all accessories etc., complete complying with relevent standard specifications and as directed by the departmental officers."
1785,177.4.1,
1786,177.4.2,"Supply and fixing of 8 way triple pole and MCB sheet steel distribution boards flush type / surface type fitted with bus bar and neutral links with 3 phase MCB outgoings and separate 4 way provision for accommodating 4 Nos of ways incomer MCB/Isolator, 4 Nos of ways incomer ELCB / RCD, 12 Nos of sub incomers, 24 Nos of outgoing ways etc., all complete complying with relevant standard specifications."
1787,177.5,"Supply and fixing of 8 way single pole and neutral MCB sheet steel enclosure and with 1no. 40ADP MCB type as incoming and 8 nos. 6A, 10KA SP MCB as outgoing with busbar and double door arrangements in flush with wall and making good of the concealed portion with earth connection 
"
1788,177.6,"Supply & Fixing of 4 way single phase DB of 16 amps DP switch with metal clad of 500 V (side handle ) with F & N on suitable angle iron frame work with trunking box, MS cable entry box with PWD earthing"
1789,177.7,"Supply & Fixing of 6 way single phase DB of 16 amps DP switch with metal clad of 500 V (side handle ) with F & N on suitable angle iron frame work with trunking box, MS cable entry box with PWD earthing"
1790,177.8,"Supply and fixing of 12 way single pole and neutral MCB sheet steel enclosure and with 1no. 63A DP MCB as incoming and 12 nos. 6A, 10KA DP MCB as outgoing with busbar and double door arrangements in flush with wall / on surface and making good of the concealed portion with earth connection etc., all complete complying with relevant standard specifications.
"
1791,178,"ISI Earthing Station using Pipe electrode as per IS 3043 using 2.1 m of 38 mm dia and 0.15 m of 19 mm dia B Class. GI pipe including earthwork excavation, brickwork in cement mortar, plastering, 38 mm trench RCC cover for the brick masonry, 19 mm GI Check nuts, bolts, washers, GI bend, reducer, coupling, funnel with wire mesh of 12.5 mm dia, copper plate 125 mm x 50 mm x 6 mm ( 0.36 kg ), including 1 bag ( 40 kgs ) charcoal, salt 10 kg including cost of all materials and labour,etc all complete as per relevant standard specification and as directed by the departmental officers."
1792,179,Supply and run of 25mm x 3mm Tin coated copper flat on insulators from the earthing to the cubical panels and also for interconnecting the earthings.
1793,179.1,Supply and Fixing of 25mm x 3mm x 300mm tin coated coper flat on the wall for use as earth bus in the lift machine room 
1794,180,"Supply and run of 25mm x 3mm Tin coated copper flat on insulators from the earthing to the cubical panels and also for interconnecting the earthings  etc., all complete and as directed by the deaprmental officers. "
1795,180.1,Supply and run of 1of No.8. T.C. Copper for earth connection. 
1796,180.1.1,"Supplying and fixing 25mm x 3mm copper strip on surface or in recess for connections as required etc., all complete and as directed by the departmental officers."
1797,180.1.2,"Supplying and fixing 25mm x 6mm copper strip on surface or in recess for connections as required etc., all complete and as directed by the departmental officers."
1798,180.1.3,"Supply and run of 25mm x 6mm Tin coated copper flat on insulators from the earthing to the cubical panels and also for interconnecting the earthings  etc., all complete and as directed by the deaprmental officers. "
1799,180.1.4,Supply and run off 2 of No.8. Tin Coated Copper for earth connection. 
1800,180.1.5,Supplying and laying of 3 core 16 sqmm PVC insulated and sheathed flat type copper L.T. cable conforming to is 694/1990 with ISI marking (with excise duty) with including cost of all materials & labour and laying in trenches inside the pump room. 
1801,180.2,Supplying and laying of 3 core 25 sqmm PVC insulated and sheathed flat type copper L.T. cable conforming to is 694/1990 with ISI marking (with excise duty) with including cost of all materials & labour and laying in trenches inside the pump room. 
1802,180.2.1,"Labour charges for laying of Flat cable below ground level including earth work excavation, brick laying, sand filling and refilling etc., all complete as per relevant standard specification and as directed by the departmental officers.  (Below GL)"
1803,180.2.2,"Labour Charges for conveying and fixing of Flat cables above ground level with necessary MS clamps, brass screws including cost of all materials, redoing the dismantled portion etc.,  all complete as per relevant standard specification and as directed by the departmental officers.  (above GL)"
1804,180.2.3,Supplying and laying of 3 core 4 sqmm PVC insulated and sheathed flat type copper L.T. cable conforming to is 694/1990 with ISI marking (with excise duty) with including cost of all materials & labour and laying in trenches inside the pump room . 
1805,180.3,"Supplying and laying of 3 core 2.5 sqmm PVC insulated and sheathed flat type copper L.T. cable conforming to IS 694/1990 with ISI marking (with excise duty) with including cost of all materials, labour and laying etc., all complete complying with relevant standard specifications and as directed by the departmental officers. "
1806,181,"Supply and fixing of twin 4 40w fluorescent street light fitting complete with copper choke and condenser with 32mm GI pipe on the wall with 16A aerial fuse unit on MS plate with PVC unsheathed leads, MS clamps, alu. painting and with flu. Tubes "
1807,182,Supply and fixing of 2x440W twin decorative mirror optics fitting complete with copper chokes and condenser with conduit pipe suspension in flush with false ceiling with PVC unsheathed leads from the terminals to the fitting with fluorescent tubes.      
1808,183,"Supplying and fixing of mirror light fitting (2 front round box type) with side holder (2 Nos) of approved make (ISI) and quality with necessary 10 watts lamps including cost, labour charges for fixing etc., all complete and as directed by the departmental officers.  (The mirror light fitting should be got approved from the EE before fixing)"
1809,184,Supply and fixing of 2x18W CFL lamp fitting with 2nos. 18W CFL lamps on ceiling in flush with false ceiling. 
1810,184.1,Supply and fixing of 1x11W decorative CFL fitting for wall / ceiling mounting with 11W lamp.    
1811,184.2,"Supply and fixing of 2x2 20W twin decorative mirror optic 4 Nos of 18/20 watts tube light fitting complete with copper chokes and condenser with conduit pipe suspension in flush with gypboard false ceiling with PVC unsheathed leads from the terminals to the fitting with fluorescent tubes including cost and all labour charges etc., all complete complying with relevant standard specifications."
1812,184.2.1,"supply and fixing of 4 40W Twin Mirror optic recessed mounting type fittings (ISI)  complete with copper chokes and condensor with louvers cover on wall or ceiling with PVC unsheathed leads from terminals to the fitting with fluorescent tube and including Labour charges for fixing etc., all complete and as directed by the departmental officers.  (The mirror light fitting should be got approved from the EE before fixing)"
1813,184.2.2,"Supply and fixing of 2 x2 20W twin decorative mirror optic 4 Nos of 18/20 watts tube light fitting complete with copper chokes and condenser with conduit pipe suspension in flush with gypboard false ceiling with PVC unsheathed leads from the terminals to the fitting with fluorescent tubes including cost and all labour charges etc., all complete complying with relevant standard specifications."
1814,184.2.3,"Supply and fixing of 4’40W Twin mirror optics suspension type fitting complete with louvers cover complete with copper chokes and condensor with conduit pipe suspension, with PVC unsheathed copper leads from the terminals to the fitting with fluorescent tubes etc.,all complete and as directed by the Departmental Officer..      "
1815,184.2.4,"Supply and fixing of 4’40W Twin decorative mirror optic suspension type fitting complete with louvers cover complete with copper chokes and condensor with MS conduit pipe suspension with PVC unsheathed copper leads from the terminals to the fitting with fluorescent tubes etc.,all complete and as directed by the Departmental Officer.      "
1816,184.2.5,"Supply and fixing of 2’ 10 W batten LED fitting with all accessories on wall / ceiling with PVC unsheathed copper leads from the terminals to the fitting with mirror light purpose etc.,all complete and as directed by the Departmental Officer.      "
1817,184.2.6,"Supply and fixing of 2 Nos 4 40W Decorative twin mirror optic supension type fitting complete with copper chokes and condenser including cost and all labour charges etc., all complete complying with relevant standard specifications and as directed by the departmental officers. (all the materials brand & quality should be got approved from the Executive Engineer concerned before use ).  "
1818,184.3,"Supplying and fixing of Ornamental 20 length twin type flourecent lamp set for false ceiling light including cost of all materials and labour charges for fixing etc., all complete and as directed by the departmental officers. (The quality should be got approved by the Executive Engineer before use)."
1819,185,Supply and fixing 20A 3pin MC plug with top with 20A /32A MCB on suitable MS box in flush with wall and painting. 
1820,185.1,"Supplying and fixing the following specials for replacing existing damaged specials including cost of materials and labour charges etc., all complete and as directed by the departmental officers. (The Specials should be got approved from the EE before use)50mm Steel Plug"
1821,186,Supplying and fixng 15A /5A 3 pin non interlocking CS plug with top concealed and indicator lamp in suitable MS box in flush with wall and painting.
1822,186.1,"Supply and fixing of 5 Amps (Flush  type) switches including cost of materials and labour charges for fixing etc., all complete complying with relevant standard specifications and as directed by the departmental officers (The brand  and  quality of materials should be got approved from EE before use)."
1823,186.2,"Supply and fixing of 5 Amps / 15 Amps 3 pin flush type wall socket including cost of materials and labour charges for fixing etc., all complete complying with relevant standard specifications and as directed by the departmental officers (The brand  and  quality of materials should be got approved from EE before use)."
1824,186.3,"Supply and fixing of 5 Amps 3 pin & 2 pin combined  flush type wall socket including cost of materials and labour charges for fixing etc., all complete complying with relevant standard specifications and as directed by the departmental officers (The brand  and  quality of materials should be got approved from EE before use)."
1825,186.4,"Supply and fixing of battern type bakelite holder for lamp of approved vairety, including cost of materials and labour charges for fixing etc., all complete complying with relevant standard specifications and as directed by the departmental officers (The brand  and  quality of materials should be got approved from EE before use)."
1826,187,Supply and fixing of 32A TPN MC switch as incoming and 3 nos 32A DPMC switch as outgoing with suitable adopter box and MS cable entry boxes and internal connections on suitable angle iron frame work with earth connections. 
1827,188,Supply and laying 50mm B class  GI pipe in a trench to be excavated at a depth 0.75m and refilling the pits. 
1828,189,"Supply and laying LTUG cable for Below ground level with 50mm B class  GI pipe and including earth work excavation, laying of cable with G.I pipe, jointing , refilling and including cost of 50mm GI pipe of best approved quality and labour charges etc., all complete as per relavent standard specification and as directed by the departmental officer."
1829,190,"Supply and fixing of UG cable on EB pole with 50mm dia B class GI pipe and including 2 pair of clamp with bolts, nuts and including cost of 50mm GI pipe of best approved quality and labour charges etc., all complete as per relavent standard specification and as directed by the departmental officer."
1830,190.1,"Supply and fixing SWG 6 PVC rigid pipe of 4"" dia in a trench to be excavated at a depth 0.75m and refilling the pits."
1831,190.2,"Supply and fixing SWG 6 PVC rigid pipe of 4"" dia in a trench to be excavated at a depth 0.75m and refilling the pits."
1832,191,Supply and fixing 70W metal halide lamp fitting with lamp on suitable angle iron support for illuminating the name board.
1833,192,"Supply and fixing of 150W street light Sodium Vapour fitting complete with part optics reflector and toughened glass coverwith copper choke and suitable SV lamp with 32mm GI pipe on wall with 16A aerial fuse unit on MS plate with PVC unsheathed leads, MS clamps, Alu. Painting with SV lamp.                  "
1834,193," Supply, delivery and fixing of sodium vapour lamp with fittings and tubular lamp post with canopy of aluminium sheet deep drawn, treated, primered stove enamelled painting and inside bright ended and anodised for optimum reflection and diecast aluminium control gear compartments complete with all accessories like copper wire would ballast, capacitor, ignitor, connection box etc., and all prewired upto terminal block porcelin lamp holder and acrylic cover with rubber gas for effective protection from water entry all complete suitable for 150 watts vapour lamp and tubular lamp post using 65mm dia G.I. pipe ‘B’ class pipe with I.S.I mark of 6 meter length and 20mm dia G.I. pipe ‘B’ class upto 2 metres with necessary reducer couplings and pipe firmly fixed with M.S plate of 45cm x 45cm x 6mm thick of the bottom and M.S box with 8” x 6’’ with locking arrangements fixed with lamp post for providing looping in and looping out connections and connected to the street light fittings and supply and fixing of 15 Amps fuse unit and 15 Amps copper neutral link plate with brass bolts and nuts including concreting C.C 1:2:4 using 20mm HBG stone jelly for 1.20m below ground  "
1835,194,"level and 0.3m above ground level and a diameter of 45cm with necessary Earth civil loop including labour charges for fixing street light fittings, earth work excavation, two coats of painting over one coat of Anti corrosive painting, welding inter connection using 1.5sq.mm copper cable including cost of sodium vapour lamp 150w and necessary fittings in tubular lamp post ( for external electrification and campus lightings) labour charges for fixing of lamps with fittings and erection of lamp post and as per relevant standard specification and as directed by the departmental officer etc., all complete."
1836,194.1,Supply and fixing of 150W sodium vapour street light fitting with pot optics reflector and UV stabilised acrylic cover complete with all accessories with suitable lamp with 32mm dia GI pipe (Class B) complete on the existing post / wall with 16A aerial fuse unit on MS plate with PVC unsheathed copper leads MS clamps adn aluminium painting with earth connection Supply and fixing of 150W S.V street light fitting with pot optics reflector and UV stabilised acrylic cover complete with all accessories  with tubular lamp on the 7.5m pole
1837,194.2,Renewal of 250W Sodium Vapour lamp in the 9.5 m high MS tubular pole.
1838,194.3,Renewal of 150W Sodium Vapour lamp in the 7.5 m high MS tubular pole.
1839,195,"Supply and fixing of 150W street light Sodium Vapour fitting with bulb in the  existing pole including cost of 50mm dia GI pipe of B class, Connection wire of 2.5Sqmm PVC in sulated unsheathed copper cable, MS clamp with bolts and nuts, 15amps 500V fuse unit,T.W.plank of size 150x100x20mm labour charges for fixing painting the G.I pipes,clamps,screws etc., complete and as per relevant standard specifications and as directed by the departmental officers."
1840,196,Renewal of 250W sodium vapour choke in 9.5 m high pole.
1841,196.1, Renewal of 150W sodium vapour choke in 7.5m high pole.
1842,197,"Supplying and fixing of ACSR 7/2.5 Sqmm LT conductor on Street light poles for over head line work with all asserories etc., complete and as directed by the departmental officers."
1843,198,"Supply of LT PVC pin insulation for fixing LT conductor on street light pole for over head line works etc., complete and as directed by the departmental officers."
1844,198.1,"Supply of LT shaked for fixing LT conductor street light pole over head line work etc., complete and as directed by the departmental officers."
1845,198.2,"Supply of LT 3 phase X arm on street pole for over head line works etc., all complete and as directed by the departmental officers."
1846,198.3,Renewal of ignitor suitable for 250W /150W sodium vapour lamps. 
1847,198.4,"Supply and fixing of 63A, 4 pole ELCB on suitable MS box in flush with wall including interconnections and earth connections. "
1848,199,"Supply and fixing of 63A, 100 m A 4 pole ELCB on suitable MS box in flush with wall including interconnections and earth connections. "
1849,200,"Supply and fixing of 40A, 100 m A 4 pole ELCB on suitable MS box in flush with wall including interconnections and earth connections. "
1850,200.1,"Supply and fixing of 32A, 4 pole ELCB on suitable MS box in flush with wall including interconnections and earth connections."
1851,200.2,Supply and fixing of 20 KVAR capacitor on suitbale angle iron frame work on wall / floor with earth connection.
1852,201,Supply and fixing of 15 KVAR capacitor on suitbale angle iron frame work on wall / floor with earth connection.
1853,202,"Supply and fixing of 16 SWG MS box 12"" x 12"" x 12"" with suitable hylum sheet for accommodating the 30A DPIC swith complete with water proof arrangements for each watch tower."
1854,202.1,"Supplying and fixing of 50mm dia GI pipe with a height of 2.40m length including flange and GI cap with necessary foundation such as earth work excavation, concrete 1:5:10 (One of cement five of sand and ten of HBG jelly) and finishing the same for Shuttle court / Tennis court of and other similar works."
1855,203,Supply and laying of Labour charges for cutting threading and jointing G.I pipes with necessary specials of the 20mm dia above ground level including fixing to wall with necessary T.W plugs clamps and screws making holes in the wall or drilling holes in roof making materials packing the same with necessary scaffolding complete. 
1856,205,"Supplying and fixing in position of 12 mm thick GYP – board false ceiling using GI perimeter channel of size 0.55 mm thick ( having one flange of 20 mm and another flange of 30 mm and web of 27 mm thick) along with perimeter of ceiling screws fixed with brick wall/ partition/ RCC work with help of nylon sleeves and screws @ 610 mm center to center, then suspending GI intermediate channels 45 mm (0.90 mm thick with two flanges of 15 mm each ) from the soffits @ 1220 mm center to center with ceiling angle of width 25x10x0.55 mm thick fixed to soffits with G.I cleat and steel expansion fasteners ceiling section of 0.55 mm thick having knurled web of 51.50 mm and two flanges of 26 mm each with lips of 10.50 mm are fixed to the intermediate channel with the help of connecting clips in direction perpendicular to the intermediate channel at 457 mm centers 12 mm thick tapered edge GYP board ( confirming to IS 2035 – 1982 ) screw fixed to ceiling section with 25 mm dry wall screws @ 230 mm centers screw fixing is done mechanically either with screw driver or drilling machine with suitable attachment etc all complete and as directed by the Departmental Officer."
1857,205.1,"Painting the old iron work with one coat of approved make of  “Epoxy paint” of approved quality and brand, the paint should be supplied by the contractor at his own cost. (The quality and the brand of the paint should be got approved by the Executive Engineer before use ) complying   with relevant standard specifications after thorough scrapping using emery sheet etc., all complete and as directed by the departmental officers."
1858,205.2,"Labour charges for the Cutting the PVC pipes true to axis and finishing the ends including cutting the pipes with required tools and finishing the ends neatly etc., all complete complying with relevant standard specifications and as directed by the departmental officers. "
1859,205.2.a,a. 140mm PVC 6 KSC pipe
1860,205.2.b,b. 110mm PVC 6 KSC pipe
1861,205.2.c,c. 90mm PVC 6 KSC pipe
1862,205.2.d,d. 75mm PVC 6 KSC pipe
1863,205.2.e,e. 63mm PVC 6 KSC pipe
1864,205.2.f,f. 50mm PVC 6 KSC pipe
1865,205.3,"Labour charges for the Cutting the GI pipes including cutting the pipes with required tools and finishing the ends neatly etc., all complete complying with relevant standard specifications and as directed by the departmental officers. 
a.150mm dia"
1866,205.4,"Labour charges for the Threading the GI pipes including threading the pipes with required tools and finishing the ends neatly etc., all complete complying with relevant standard specifications and as directed by the departmental officers. 
a.150mm dia"
1867,206,"Applying epoxy jointing compound to  provide bonding  between new and old concrete with plastering in cement ortar 1:4 ( one of cement and four of sand ) 20mm thick mixed with water proofing liquid to cover 1 Sqm  area and applying epoxy  coating compound including cost of all materials, brushes,  labour charges, cleaning the old surfaces etc., all complete complying with relevant standard specifications. (The brand and quality of materials should be got approved from the EE before use )."
1868,206.1,"Supplying and fixing in position of 10 mm thick GYP – board false ceiling using GI perimeter channel of size 0.55 mm thick ( having one flange of 20 mm and another flange of 30 mm and web of 27 mm thick) along with perimeter of ceiling screws fixed with brick wall/ partition/ RCC work with help of nylon sleeves and screws @ 610 mm center to center, then suspending GI intermediate channels 45 mm (0.90 mm thick with two flanges of 15 mm each) from the soffits @ 1220 mm center to center with ceiling angle of width 25x10x0.55 mm thick fixed to soffits with G.I cleat and steel expansion fasteners ceiling section of 0.55 mm thick having knurled web of 51.50 mm and two flanges of 26 mm each with lips of 10.50 mm are fixed to the intermediate channel with the help of connecting clips in direction perpendicular to the intermediate channel at 457 mm centers 12 mm thick tapered edge GYP board (confirming to IS 2035 – 1982) screw fixed to ceiling section with 25 mm dry wall screws @ 230 mm centers screw fixing is done mechanically either with screw driver or drilling machine with suitable attachment etc all complete and as directed by the Departmental Officer."
1869,206.1.2,"Supplying and fixing in position of 10 mm thick Hilux or equivalent board false ceiling using GI perimeter channel of size 0.55 mm thick ( having one flange of 20 mm and another flange of 30 mm and web of 27 mm thick) along with perimeter of ceiling screws fixed with brick wall/ partition/ RCC work with help of nylon sleeves and screws @ 610 mm center to center, then suspending GI intermediate channels 45 mm (0.90 mm thick with two flanges of 15 mm each ) from the soffits @ 1220 mm center to center with ceiling angle of width 25x10x0.55 mm thick fixed to soffits with G.I cleat and steel expansion fasteners ceiling section of 0.55 mm thick having knurled web of 51.50 mm and two flanges of 26 mm each with lips of 10.50 mm are fixed to the intermediate channel with the help of connecting clips in direction perpendicular to the intermediate channel at 457 mm centers 12 mm thick tapered edge board ( confirming to IS 2035 – 1982 ) screw fixed to ceiling section with 25 mm dry wall screws @ 230 mm centers screw fixing is done mechanically either with screw driver or drilling machine with suitable attachment etc all complete and as directed by the Departmental Officer."
1870,206.2,"Supplying and fixing in position of 12 mm thick GYP – board false ceiling using GI perimeter channel of size 0.55 mm thick ( having one flange of 20 mm and another flange of 30 mm and web of 27 mm thick) along with perimeter of ceiling screws fixed with brick wall/ partition/ RCC work with help of nylon sleeves and screws @ 610 mm center to center, then suspending GI intermediate channels 45 mm (0.90 mm thick with two flanges of 15 mm each ) from the soffits @ 1220 mm center to center with ceiling angle of width 25x10x0.55 mm thick fixed to soffits with G.I cleat and steel expansion fasteners ceiling section of 0.55 mm thick having knurled web of 51.50 mm and two flanges of 26 mm each with lips of 10.50 mm are fixed to the intermediate channel with the help of connecting clips in direction perpendicular to the intermediate channel at 457 mm centers 12 mm thick tapered edge GYP board ( confirming to IS 2035 – 1982 ) screw fixed to ceiling section with 25 mm dry wall screws @ 230 mm centers screw fixing is done mechanically either with screw driver or drilling machine with suitable attachment etc all complete and as directed by the Departmental Officer."
1871,206.4,"Supplying and fixing in position of 10 mm thick GYP – board false ceiling using Perforated sheet of size 0.55 mm thick ( having one flange of 20 mm and another flange of 30 mm and web of 27 mm thick) along with perimeter of ceiling screws fixed with brick wall/ partition/ RCC work with help of nylon sleeves and screws @ 610 mm center to center, then suspending GI intermediate channels 45 mm (0.90 mm thick with two flanges of 15 mm each ) from the soffits @ 1220 mm center to center with ceiling angle of width 25x10x0.55 mm thick fixed to soffits with G.I cleat and steel expansion fasteners ceiling section of 0.55 mm thick having knurled web of 51.50 mm and two flanges of 26 mm each with lips of 10.50 mm are fixed to the intermediate channel with the help of connecting clips in direction perpendicular to the intermediate channel at 457 mm centers 12 mm thick tapered edge GYP board (confirming to IS 2035 – 1982) screw fixed to ceiling section with 25 mm dry wall screws @ 230 mm centers screw fixing is done mechanically either with screw driver or drilling machine with suitable attachment etc all complete and as directed by the departmental Officer."
1872,207,"Painting the false ceilling / walls two coats with 1st class  ready mixed plastic emulson paint of best approved quality colour and shade over a priming coat, including clean removal of dirt and dust etc., complete including cost of necessary brushes, labour charges, putty etc., complying with relevant standard specification. (The paint should be supplied by the contractors at his own cost.The quality and shade of the paint should be got approved by the  Executive engineer before use.) "
1873,207.1,"Painting the old wall surface with two coats of water proof chemical paint  of best approved quality and colour over a priming coat, including clean removal of dirt and dust etc., complete including cost of necessary brushes, labour charges, putty etc., complying with relevant standard specification. (The paint should be supplied by the contractors at his own cost.The quality and shade of the paint should be got approved by the  Executive engineer before use.) "
1874,207.3,"Painting the old wood work with two coats of approved Ist class synthetic enamel paint including thorough scrapping the old paint using sand paper as required by the departmental officers including cost of material, labour for painting, supplying etc., all complete as directed by the departmental officers. (the paint quality and shade should be got approved by Executive Engineer before using.)"
1875,207.3.1,"Painting the false ceilling / walls with two coats of 1st class ready mixed plastic emulsion paint of best approved quality colour and shade including a priming coat, including clean removal of dirt and dust etc., complete including cost of necessary brushes, labour charges, putty etc., complying with relevant standard specification. (The paint should be supplied by the contractors at his own cost.The quality and shade of the paint should be got approved from the  Executive engineer before use.) "
1876,207.3.2,"Painting the false ceiling two coats with 1st class ready mixed plastic emulsion paint of best approved quality colour and shade without priming coat, including clean removal of dirt and dust etc., complete including cost of necessary brushes, labour charges, putty etc., complying with relevant standard specification. (The paint should be supplied by the contractors at his own cost.The quality and shade of the paint should be got approved from the  Executive engineer before use.) "
1877,207.3.3,"Painting the old walls two coats with 1st class ready mixed plastic emulsion paint of best approved quality colour and shade including clean removal of dirt and dust etc., complete including cost of necessary brushes, labour charges, putty etc., complying with relevant standard specification. (The paint should be supplied by the contractors at his own cost.The quality and shade of the paint should be got approved by the  Executive engineer before use.) "
1878,207.3.4,"Painting the old walls with two coats with 1st class ready mixed plastic emulsion paint of best approved quality colour and shade over a priming coat, including scrapping, clean removal of dirt and dust etc., complete including cost of necessary brushes, labour charges, putty etc., complying with relevant standard specification. (The paint should be supplied by the contractors at his own cost.The quality and shade of the paint should be got approved from the  Executive Engineer before use.) "
1879,207.3.5,"Painting the old walls two coats with 1st class ready mixed plastic emulsion paint of best approved quality colour and shade including scrapping the surface, clean removal of dirt and dust etc., complete including cost of necessary brushes, labour charges, putty etc., complying with relevant standard specification. (The paint should be supplied by the contractors at his own cost.The quality and shade of the paint should be got approved by the  Executive engineer before use.) "
1880,207.3.6,"Painting the old walls two coats with 1st class ready mixed plastic emulsion paint of best approved quality colour and shade, clean and removal of dirt and dust from the old surface etc., complete including cost of necessary brushes, labour charges, putty etc., complying with relevant standard specification. (The paint should be supplied by the contractors at his own cost.The quality and shade of the paint should be got approved by the  Executive engineer before use.) "
1881,207.3.7,"Painting the old walls one coat with 1st class ready mixed plastic emulsion paint of best approved quality colour and shade including scrapping the surface, clean removal of dirt and dust etc., complete including cost of necessary brushes, labour charges, putty etc., complying with relevant standard specification. (The paint should be supplied by the contractors at his own cost.The quality and shade of the paint should be got approved by the  Executive engineer before use.) "
1882,207.3.8,"Painting the street light pole with one coat of Aluminium paint of approved best quality including cost of paints, putty, brushes, labour charges etc., all complete as directed by the departmental officers (paints shall be got approved from the Executive Engineer before using)"
1883,207.3.9,"Painting the false ceilling / walls two coats with 1st class  ready mixed plastic emulson paint of best approved quality colour and shade over a priming coat, including clean removal of dirt and dust etc., complete including cost of necessary brushes, labour charges, putty etc., complying with relevant standard specification. (The paint should be supplied by the contractors at his own cost. The quality and shade of the paint should be got approved by the  Executive engineer before use.) "
1884,207.4,"Painting the ceiling with one coat of 1st class ready mixed plastic emulsion paint of best approved quality colour and shade including primer coat etc., complete including cost of necessary brushes, labour charges, putty etc., complying with relevant standard specification. (The paint should be supplied by the contractors at his own cost.The quality and shade of the paint should be got approved from the  Executive engineer before use.) "
1885,207.5,"Painting the old wood work with one coat of approved Ist class synthetic enamel paint including thorough scrapping the old paint using sand paper as required by the departmental officers including cost of material, labour for painting, supplying etc., all complete as directed by the departmental officers. (the paint quality and shade should be got approved by Executive Engineer before using.)"
1886,207.6,"Painting the old iron work with two coats of ready mixed  first  class synthetic enamel paint of approved quality and brand, the paint should supplied by the contractor at his own cost (the quality and the shade of paint should be got approved by the Executive Engineer before use). Complying with relevant standard specification."
1887,207.7,"Painting the old iron work with one coat of approved Ist class synthetic enamel paint including thorough scrapping the old paint using sand paper as required by the departmental officers including cost of material, labour for painting, supplying etc., all complete as directed by the departmental officers. (The paint quality and shade should be got approved by Executive Engineer before using.)"
1888,208,"Removing the damaged A.C sheets in the places shown without affecting the purlins, rafters, joists etc., and stacking for reuse if any at places shown by departmental officers at site of work and providing A.C sheet with necessary ‘U’ or ‘J’ bolts and nuts and plants as directed by the departmental officers etc., complete."
1889,208.1,"Removing the damaged A.C Sheets in the places shown without affecting the purlins, rafters, joists etc., and stacking for reuse if any at places shown by departmental officers at site of work ."
1890,208.2,"Removing the damaged AC sheet roof sheets and replacing with the new Galvalume sheets including cost of Galvalume sheet , J bolts and nuts , bitumen washers  etc, and labour for removing and refixing the sheets etc all complete as directed by the departmental officers."
1891,208.3,"Removing the damaged AC Ridge piece and replacing with the new Galvalume Ridge piece including cost of Galvalume Ridge piece , J bolts and nuts , bitumen washers  etc, and labour for removing and refixing the sheets etc all complete as directed by the departmental officers. "
1892,208.4,"Removing the damaged AC Gutter and replacing with the new Galvalume Gutter including cost of AC Gutter , J bolts and nuts , bitumen washers  etc, and labour for removing and refixing the sheets etc all complete as directed by the departmental officers. "
1893,208.5,"Supplying and fixing of Lighting roof sheet including cost of sheet, bolts, bitumen washers etc complete as directed by the departmental officers. "
1894,208,"Painting the old wood work with two coats of approved Ist class synthetic enamel paint including thorough scrapping the old paint using sand paper as required by the departmental officers including cost of material, labour for painting, supplying etc., all complete as directed by the departmental officers. (The paint quality and shade should be got approved by Executive Engineer before using.)"
1895,209,Removing the damaged Zinc corrugated sheets in the places shown without affecting the roof truss and stacking for reuse if any at places shown by departmental officers at site of work .
1896,209.1,"Supplying and fixing of  20 Guage Zinc corrugated sheet roof over the existing roof truss including the cost of j bolts, washers, labour charges for erection etc., all complete including scaffolding wherever necessary and as directed by departmental officers."
1897,209.1.1,"Removing the damaged A.C Sheets in the places shown without affecting the purlins, rafters, joists etc., and stacking for reuse if any at places shown by departmental officers at site of work ."
1898,209.2,"Labour charges for high roofing the existing Zinc sheet roofing using removed reuse for existing zinc sheet and including U bolts, nuts, bituminous washers, etc., all complete including scaffolding wherever necessary and as directed by departmental officers."
1899,209.3,"Supplying and fixing of Water proof Ashphaltic felt sheet over Zinc sheet roof including the cost of sheet and labours for fixing etc., all complete including scaffolding wherever necessary and as directed by departmental officers."
1900,209.3.1,"Supplying and fixing of 1mm thick Tar felt with toop of silver reflective paint coating with necessary base tar coating after cleaning the roofing free from dirt and dust including cost of all materials, labour charges, conveyance charges, scaffolding etc all complete and as directed by the departmental officers.  (The Tar felt should be got approved from the EE before use)"
1901,209.4,"Removing the existing steel rolling shutter and fittings without damaging the existing structure and stacking the same in department store at site of work for reuse including scaffolding charges, tools and plant charges, conveyance charges etc., all complete and as directed by the departmental officers."
1902,209.5,"Clean removal of the old cement plastering both inside and outside from the existing walls of brick masonry and racking out joints to 20mm deep without damaging the existing structure and surroundings and clearing the debris away from the site including cost of required tools and plant and necessary scaffolding if necessary etc., all complete in all respect and as directed by the departmental officers."
